出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1100717,11006,1305,華夏,塑膠工業," $1,684,606.00 ",1397334,948423,20.55857798,77.62179956,9554447,5878179,62.54093317,109年第二季全球爆發第一波新冠肺炎疫情，致需求驟降，今年因部分PVC大廠受疫情、歲修或天災而減產，後疫情需求恢復。
1100717,11006,1307,三芳,塑膠工業," $691,468.00 ",604961,489749,14.29959948,41.18824132,4583193,4128512,11.01319313,-
1100717,11006,1308,亞聚,塑膠工業," $794,147.00 ",740520,451529,7.241803057,75.87951161,4188354,2672129,56.74220818,產品平均售價較去年同期提高所致
1100717,11006,1309,台達化,塑膠工業," $1,864,035.00 ",1827110,1276711,2.02095112,46.00289337,10103614,6524556,54.85519628,持續強化銷售量，銷售量較去年同期增加，且售價優於去年，故營業收入較去年同期增加。
1100717,11006,1310,台苯,塑膠工業," $1,087,399.00 ",1216202,684951,-10.59059268,58.75573581,5567971,3578547,55.59306612,去年因疫情衝擊價格基期較低，今年6月SM價格逐漸走穩較去年同期上升約83.4%，造成同期營業額增加58.76%。
1100717,11006,1312,國喬,塑膠工業," $1,955,006.00 ",2029279,1332033,-3.660068428,46.76858606,11168803,7210570,54.89486962,係因主要產品之數量及價格均較去年成長
1100717,11006,1313,聯成,塑膠工業," $6,964,983.00 ",6407063,4199654,8.707890027,65.84659117,37923382,21094129,79.78169186,產品價格較去年同期增加。
1100717,11006,1314,中石化,塑膠工業," $3,363,761.00 ",3063236,1217571,9.810703452,176.2681601,16678382,9385146,77.71041601,去年同期及累計營收因受疫情影響而較正常低；近期原物料價格上漲及需求回穩，銷量及售價皆上漲，故今年單月及累計營收較去年增加
1100717,11006,1315,達新,塑膠工業," $213,438.00 ",163373,188984,30.64459856,12.93971976,1082570,1004835,7.736095976,-
1100717,11006,1316,上曜,建材營造," $29,269.00 ",135104,356108,-78.3359486,-91.78086423,492607,855009,-42.38575266,本月減少房地收入
1100717,11006,1319,東陽,汽車工業," $1,611,783.00 ",1382944,1264888,16.54723546,27.42495778,8976677,8101206,10.80667496,-
1100717,11006,1321,大洋,塑膠工業," $474,134.00 ",634152,406756,-25.23338253,16.56472185,3185912,2177719,46.29582605,-
1100717,11006,1323,永裕,塑膠工業," $330,531.00 ",306490,298326,7.843975334,10.79523742,1770504,1662306,6.508909912,-
1100717,11006,1324,地球,塑膠工業," $86,079.00 ",97182,86367,-11.42495524,-0.333460697,518682,532946,-2.676443767,-
1100717,11006,1325,恆大,塑膠工業," $128,578.00 ",137103,484807,-6.217952926,-73.47851826,872769,1668488,-47.69102325,因市場上新冠肺炎防疫物資產能充足且競爭激烈，致本公司各類防疫物資銷售量值較去年同期減少。
1100717,11006,1326,台化,塑膠工業," $30,692,373.00 ",32135688,19842166,-4.491315076,54.68257347,180029908,120431899,49.48689632,比較去年同時疫情影響較緩和，下游需求消費動能提升，致行情上漲，客戶採購動能穩定，開動率提高產銷量增加。
1100717,11006,1337,再生-KY,塑膠工業," $105,134.00 ",111075,74032,-5.348638307,42.01156257,589620,390517,50.98446418,主係本期中國境內對新冠肺炎疫情管控得當，相關產業及商業活動已回復疫情爆發前景況，為營收較去年同期增長之主要因素。
1100717,11006,1338,廣華-KY,汽車工業," $570,469.00 ",441840,543095,29.11212204,5.040370469,3344401,2364851,41.42121428,-
1100717,11006,1339,昭輝,汽車工業," $143,126.00 ",157139,146257,-8.917582522,-2.140752237,983275,923096,6.519256935,-
1100717,11006,1340,勝悅-KY,塑膠工業," $56,676.00 ",54400,58098,4.183823529,-2.447588557,284367,259581,9.548464641,-
1100717,11006,1341,富林-KY,塑膠工業," $226,918.00 ",251222,193017,-9.674311963,17.56373791,1458601,1185748,23.01104451,-
1100717,11006,1342,八貫,其他," $179,870.00 ",136733,129415,31.54834605,38.98697987,897372,712393,25.96586435,-
1100717,11006,1402,遠東新,紡織纖維," $19,922,489.00 ",20092465,17013520,-0.845968874,17.09798443,114753529,101180409,13.41477084,-
1100717,11006,1409,新纖,紡織纖維," $3,597,869.00 ",3697034,2429664,-2.682285313,48.08092806,21124590,14823041,42.5118503,-
1100717,11006,1410,南染,紡織纖維," $35,997.00 ",52699,28351,-31.69320101,26.96906635,239279,199698,19.82042885,-
1100717,11006,1413,宏洲,紡織纖維," $262,237.00 ",256345,114480,2.298464959,129.0679595,1388220,762906,81.96475057,因去年疫情關係基期低
1100717,11006,1414,東和,紡織纖維," $65,732.00 ",62640,35986,4.93614304,82.6599233,400293,329805,21.37262928,去年同期受疫情影響，出貨量減少
1100717,11006,1416,廣豐,其他," $20,265.00 ",22937,14859,-11.64930026,36.38199071,129877,112308,15.64358728,-
1100717,11006,1417,嘉裕,紡織纖維," $89,594.00 ",93885,93304,-4.570485168,-3.976249678,615277,503845,22.11632546,-
1100717,11006,1418,東華,紡織纖維," $1,922.00 ",6456,11660,-70.22924411,-83.51629503,27528,54991,-49.94089942,因本公司110.4.1董事會通過亞克力棉生產線停止生產。
1100717,11006,1419,新紡,紡織纖維," $206,225.00 ",183301,131116,12.50620564,57.2843894,1184172,996739,18.80462187,去年同期受疫情影響營收基期較低所致
1100717,11006,1423,利華,紡織纖維," $20,114.00 ",16819,30771,19.59093882,-34.63325859,108585,122631,-11.45387382,-
1100717,11006,1432,大魯閣,貿易百貨," $15,449.00 ",43410,101031,-64.41142594,-84.70865378,368653,585668,-37.05426965,因新型冠狀病毒肺炎疫情影響
1100717,11006,1434,福懋,紡織纖維," $2,583,016.00 ",2935975,2030628,-12.02186667,27.20281607,16769028,15032010,11.55546065,-
1100717,11006,1435,中福,其他," $1,068.00 ",1184,1280,-9.797297297,-16.5625,7014,7567,-7.308048104,-
1100717,11006,1436,華友聯,建材營造," $488,356.00 ",545143,220554,-10.41689979,121.4224181,1840791,670769,174.4299453,本月及累計營收增加，係當月交屋數增加所致
1100717,11006,1437,勤益控,其他," $49,178.00 ",52195,39973,-5.78024715,23.02804393,324967,299932,8.346891962,-
1100717,11006,1438,三地開發,建材營造, $6.00 ,1,13833,500,-99.95662546,428,98422,-99.56513788,"110年累計銷售商品及土地428仟元,109年累計銷售商品及土地98,422仟元,故營收變化大。"
1100717,11006,1439,中和,紡織纖維," $4,245.00 ",8858,8659,-52.07721833,-50.97586326,41612,69828,-40.40785931,主要客戶受疫情影響需求，造成營收減少。
1100717,11006,1440,南紡,紡織纖維," $1,834,576.00 ",1592547,1352756,15.19760484,35.61765758,10652040,8600574,23.85266379,-
1100717,11006,1441,大東,紡織纖維," $119,309.00 ",147229,86933,-18.96365526,37.24247409,751724,775737,-3.095507885,-
1100717,11006,1442,名軒,建材營造," $591,123.00 ",347697,267759,70.01095782,120.766809,1361024,487869,178.973249,本月認收57戶，去年同期認收38戶；本年累計認收127戶，去年累計認收54戶，故兩期差異大。
1100717,11006,1443,立益,其他," $45,266.00 ",55089,39412,-17.83114596,14.85334416,313924,266455,17.81501567,-
1100717,11006,1444,力麗,紡織纖維," $978,966.00 ",849439,590953,15.24853462,65.6588595,4802509,4111357,16.81079994,去年同期受新型冠狀病毒疫情影響以致於營收衰退，今年營運逐漸恢復正常。
1100717,11006,1445,大宇,紡織纖維," $99,244.00 ",96775,54918,2.551278739,80.71306311,559990,482425,16.07814686,訂單增加營業額成長
1100717,11006,1446,宏和,紡織纖維," $9,574.00 ",10211,35386,-6.238370385,-72.94410219,113075,238360,-52.56125189,因永和合建案已銷售完畢
1100717,11006,1447,力鵬,紡織纖維," $1,955,590.00 ",2263198,731202,-13.59174054,167.4486667,12007317,4948979,142.6221045,因新增子公司貿易營收
1100717,11006,1449,佳和,紡織纖維," $333,575.00 ",250156,183311,33.3467916,81.97216752,1424254,916807,55.34938106,訂單增加
1100717,11006,1451,年興,紡織纖維," $685,864.00 ",596702,638348,14.94246709,7.443588763,3592414,2960559,21.34242216,-
